Rank,data name,Ticker,id,Key Person,USP / notes,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
1,Tether,USDT,tether,,The Financial network of the future.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
2,USD Coin,USDC,usd-coin,Prashant,Digital money for a digital age.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
3,Uniswap,UNI,uniswap,Nick,aydi,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Inflationary*,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
4,Chainlink,LINK,chainlink,Albert,"Decentralized service for blockchain oracles, enabling smart contracts to connect transaction, payment system, and application securely through network of oracles.",EEP22TU02,Settlement and Access Token,EIN06DF04,"Decentralized Data, Oracles and Infrastructure",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
5,Wrapped Bitcoin,WBTC,wrapped-bitcoin,Magda,Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.,EEP23DV03,Other Derivative Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT62AL,Application Layer Protocol,REU51ZZ,Other In-Scope Crypto Asset,EMO94,Other,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,New Asset Token,Y
6,Dai,DAI,dai,Marlene,"Dai can be used by anyone, anywhere, anytime.",EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT62AL,Application Layer Protocol,REU51EM12,Non-Authorized Significant E-Money Token,EMO94,Other,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
7,UNUS SED LEO,LEO,leo-token,Magda,UNUS SED LEO is a token for use on iFinex trading platforms.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,Y
8,Aave,AAVE,aave,Marlene,Open source and non-custodial liquidity protocol.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
9,FTX Token,FTT,ftx-token,Jan,"FTX Token (FTT) is the backbone of the FTX ecosystem. FTX is a cryptocurrency derivatives exchange that offers futures, leveraged tokens, and OTC trading.",EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
10,SHIBA INU,SHIB,shiba-inu,Albert,ETH-based Doge killer memecoin with its own ecosystem (ShibaSwap).,EEP21UP,Unpegged Payment Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,N
11,Maker,MKR,maker,Jan,An Unbiased Global Financial System.,EEP22NT02,Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DC,Deflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
12,Compound,COMP,compound-governance-token,Aavneet,A DeFi protocol that hosts lending pools to earn interest on various cryptocurrencies.,EEP22NT02,Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
13,Amp,AMP,amp-token,Albert,Provide assurance through collateralization for B2B focused crypto transactions.,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
14,The Graph,GRT,the-graph,Jan,The Graph is an indexing protocol for querying networks like Ethereum and IPFS.,EEP22TU03,Settlement and Governance Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
15,Huobi Token,HT,huobi-token,Marlene,Nnative token of the cryptocurrency exchange Huobi Global.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,N
